EMDBID	MapModification	XmlModification	ImageModification	MapFile	XmlFile	ImageFile
0064	12/11/18	12/21/18	12/11/18	/pub/databases/emdb/structures/EMD-0064/map/emd_0064.map.gz	/pub/databases/emdb/structures/EMD-0064/header/emd-0064.xml	/pub/databases/emdb/structures/EMD-0064/images/emd_0064.png
0065	12/11/18	12/21/18	12/11/18	/pub/databases/emdb/structures/EMD-0065/map/emd_0065.map.gz	/pub/databases/emdb/structures/EMD-0065/header/emd-0065.xml	/pub/databases/emdb/structures/EMD-0065/images/emd_0065.png
0069	11/12/18	12/14/18	11/12/18	/pub/databases/emdb/structures/EMD-0069/map/emd_0069.map.gz	/pub/databases/emdb/structures/EMD-0069/header/emd-0069.xml	/pub/databases/emdb/structures/EMD-0069/images/emd_0069.png
0076	08/06/18	12/14/18	08/06/18	/pub/databases/emdb/structures/EMD-0076/map/emd_0076.map.gz	/pub/databases/emdb/structures/EMD-0076/header/emd-0076.xml	/pub/databases/emdb/structures/EMD-0076/images/emd_0076.png
0077	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0077/map/emd_0077.map.gz	/pub/databases/emdb/structures/EMD-0077/header/emd-0077.xml	/pub/databases/emdb/structures/EMD-0077/images/emd_0077.png
0078	09/08/18	12/14/18	09/08/18	/pub/databases/emdb/structures/EMD-0078/map/emd_0078.map.gz	/pub/databases/emdb/structures/EMD-0078/header/emd-0078.xml	/pub/databases/emdb/structures/EMD-0078/images/emd_0078.png
0080	08/13/18	12/14/18	08/13/18	/pub/databases/emdb/structures/EMD-0080/map/emd_0080.map.gz	/pub/databases/emdb/structures/EMD-0080/header/emd-0080.xml	/pub/databases/emdb/structures/EMD-0080/images/emd_0080.png
0081	08/06/18	12/14/18	08/06/18	/pub/databases/emdb/structures/EMD-0081/map/emd_0081.map.gz	/pub/databases/emdb/structures/EMD-0081/header/emd-0081.xml	/pub/databases/emdb/structures/EMD-0081/images/emd_0081.png
0082	08/06/18	12/14/18	08/06/18	/pub/databases/emdb/structures/EMD-0082/map/emd_0082.map.gz	/pub/databases/emdb/structures/EMD-0082/header/emd-0082.xml	/pub/databases/emdb/structures/EMD-0082/images/emd_0082.png
0083	08/06/18	12/14/18	08/06/18	/pub/databases/emdb/structures/EMD-0083/map/emd_0083.map.gz	/pub/databases/emdb/structures/EMD-0083/header/emd-0083.xml	/pub/databases/emdb/structures/EMD-0083/images/emd_0083.png
0088	07/26/18	12/14/18	07/26/18	/pub/databases/emdb/structures/EMD-0088/map/emd_0088.map.gz	/pub/databases/emdb/structures/EMD-0088/header/emd-0088.xml	/pub/databases/emdb/structures/EMD-0088/images/emd_0088.png
0089	11/28/18	12/14/18	11/28/18	/pub/databases/emdb/structures/EMD-0089/map/emd_0089.map.gz	/pub/databases/emdb/structures/EMD-0089/header/emd-0089.xml	/pub/databases/emdb/structures/EMD-0089/images/emd_0089.png
0090	11/27/18	01/11/19	11/27/18	/pub/databases/emdb/structures/EMD-0090/map/emd_0090.map.gz	/pub/databases/emdb/structures/EMD-0090/header/emd-0090.xml	/pub/databases/emdb/structures/EMD-0090/images/emd_0090.png
0091	11/27/18	01/11/19	11/27/18	/pub/databases/emdb/structures/EMD-0091/map/emd_0091.map.gz	/pub/databases/emdb/structures/EMD-0091/header/emd-0091.xml	/pub/databases/emdb/structures/EMD-0091/images/emd_0091.png
0092	11/27/18	01/11/19	11/27/18	/pub/databases/emdb/structures/EMD-0092/map/emd_0092.map.gz	/pub/databases/emdb/structures/EMD-0092/header/emd-0092.xml	/pub/databases/emdb/structures/EMD-0092/images/emd_0092.png
0095	11/29/18	12/14/18	11/29/18	/pub/databases/emdb/structures/EMD-0095/map/emd_0095.map.gz	/pub/databases/emdb/structures/EMD-0095/header/emd-0095.xml	/pub/databases/emdb/structures/EMD-0095/images/emd_0095.png
0096	11/29/18	12/14/18	11/29/18	/pub/databases/emdb/structures/EMD-0096/map/emd_0096.map.gz	/pub/databases/emdb/structures/EMD-0096/header/emd-0096.xml	/pub/databases/emdb/structures/EMD-0096/images/emd_0096.png
0097	11/29/18	12/14/18	11/29/18	/pub/databases/emdb/structures/EMD-0097/map/emd_0097.map.gz	/pub/databases/emdb/structures/EMD-0097/header/emd-0097.xml	/pub/databases/emdb/structures/EMD-0097/images/emd_0097.png
0098	11/24/18	12/14/18	11/24/18	/pub/databases/emdb/structures/EMD-0098/map/emd_0098.map.gz	/pub/databases/emdb/structures/EMD-0098/header/emd-0098.xml	/pub/databases/emdb/structures/EMD-0098/images/emd_0098.png
0099	11/24/18	12/14/18	11/24/18	/pub/databases/emdb/structures/EMD-0099/map/emd_0099.map.gz	/pub/databases/emdb/structures/EMD-0099/header/emd-0099.xml	/pub/databases/emdb/structures/EMD-0099/images/emd_0099.png
0100	11/24/18	12/14/18	11/24/18	/pub/databases/emdb/structures/EMD-0100/map/emd_0100.map.gz	/pub/databases/emdb/structures/EMD-0100/header/emd-0100.xml	/pub/databases/emdb/structures/EMD-0100/images/emd_0100.png
0101	10/13/18	12/14/18	10/13/18	/pub/databases/emdb/structures/EMD-0101/map/emd_0101.map.gz	/pub/databases/emdb/structures/EMD-0101/header/emd-0101.xml	/pub/databases/emdb/structures/EMD-0101/images/emd_0101.png
0102	08/27/18	12/14/18	08/27/18	/pub/databases/emdb/structures/EMD-0102/map/emd_0102.map.gz	/pub/databases/emdb/structures/EMD-0102/header/emd-0102.xml	/pub/databases/emdb/structures/EMD-0102/images/emd_0102.png
0104	10/13/18	12/14/18	10/13/18	/pub/databases/emdb/structures/EMD-0104/map/emd_0104.map.gz	/pub/databases/emdb/structures/EMD-0104/header/emd-0104.xml	/pub/databases/emdb/structures/EMD-0104/images/emd_0104.png
0105	10/13/18	12/14/18	10/13/18	/pub/databases/emdb/structures/EMD-0105/map/emd_0105.map.gz	/pub/databases/emdb/structures/EMD-0105/header/emd-0105.xml	/pub/databases/emdb/structures/EMD-0105/images/emd_0105.png
0106	12/12/18	12/21/18	12/12/18	/pub/databases/emdb/structures/EMD-0106/map/emd_0106.map.gz	/pub/databases/emdb/structures/EMD-0106/header/emd-0106.xml	/pub/databases/emdb/structures/EMD-0106/images/emd_0106.png
0107	12/12/18	12/21/18	12/12/18	/pub/databases/emdb/structures/EMD-0107/map/emd_0107.map.gz	/pub/databases/emdb/structures/EMD-0107/header/emd-0107.xml	/pub/databases/emdb/structures/EMD-0107/images/emd_0107.png
0109	12/17/18	12/21/18	12/17/18	/pub/databases/emdb/structures/EMD-0109/map/emd_0109.map.gz	/pub/databases/emdb/structures/EMD-0109/header/emd-0109.xml	/pub/databases/emdb/structures/EMD-0109/images/emd_0109.png
0110	12/17/18	12/21/18	12/17/18	/pub/databases/emdb/structures/EMD-0110/map/emd_0110.map.gz	/pub/databases/emdb/structures/EMD-0110/header/emd-0110.xml	/pub/databases/emdb/structures/EMD-0110/images/emd_0110.png
0111	12/17/18	12/21/18	12/17/18	/pub/databases/emdb/structures/EMD-0111/map/emd_0111.map.gz	/pub/databases/emdb/structures/EMD-0111/header/emd-0111.xml	/pub/databases/emdb/structures/EMD-0111/images/emd_0111.png
0112	12/17/18	12/21/18	12/17/18	/pub/databases/emdb/structures/EMD-0112/map/emd_0112.map.gz	/pub/databases/emdb/structures/EMD-0112/header/emd-0112.xml	/pub/databases/emdb/structures/EMD-0112/images/emd_0112.png
0113	12/17/18	12/21/18	12/17/18	/pub/databases/emdb/structures/EMD-0113/map/emd_0113.map.gz	/pub/databases/emdb/structures/EMD-0113/header/emd-0113.xml	/pub/databases/emdb/structures/EMD-0113/images/emd_0113.png
0117	01/07/19	01/11/19	01/07/19	/pub/databases/emdb/structures/EMD-0117/map/emd_0117.map.gz	/pub/databases/emdb/structures/EMD-0117/header/emd-0117.xml	/pub/databases/emdb/structures/EMD-0117/images/emd_0117.png
0119	01/07/19	01/11/19	01/07/19	/pub/databases/emdb/structures/EMD-0119/map/emd_0119.map.gz	/pub/databases/emdb/structures/EMD-0119/header/emd-0119.xml	/pub/databases/emdb/structures/EMD-0119/images/emd_0119.png
0127	08/02/18	12/14/18	08/02/18	/pub/databases/emdb/structures/EMD-0127/map/emd_0127.map.gz	/pub/databases/emdb/structures/EMD-0127/header/emd-0127.xml	/pub/databases/emdb/structures/EMD-0127/images/emd_0127.png
0128	08/06/18	12/14/18	08/06/18	/pub/databases/emdb/structures/EMD-0128/map/emd_0128.map.gz	/pub/databases/emdb/structures/EMD-0128/header/emd-0128.xml	/pub/databases/emdb/structures/EMD-0128/images/emd_0128.png
0129	10/23/18	12/14/18	10/23/18	/pub/databases/emdb/structures/EMD-0129/map/emd_0129.map.gz	/pub/databases/emdb/structures/EMD-0129/header/emd-0129.xml	/pub/databases/emdb/structures/EMD-0129/images/emd_0129.png
0130	10/30/18	12/14/18	10/30/18	/pub/databases/emdb/structures/EMD-0130/map/emd_0130.map.gz	/pub/databases/emdb/structures/EMD-0130/header/emd-0130.xml	/pub/databases/emdb/structures/EMD-0130/images/emd_0130.png
0133	11/11/18	12/14/18	11/11/18	/pub/databases/emdb/structures/EMD-0133/map/emd_0133.map.gz	/pub/databases/emdb/structures/EMD-0133/header/emd-0133.xml	/pub/databases/emdb/structures/EMD-0133/images/emd_0133.png
0134	11/11/18	12/14/18	11/11/18	/pub/databases/emdb/structures/EMD-0134/map/emd_0134.map.gz	/pub/databases/emdb/structures/EMD-0134/header/emd-0134.xml	/pub/databases/emdb/structures/EMD-0134/images/emd_0134.png
0135	09/05/18	12/14/18	09/05/18	/pub/databases/emdb/structures/EMD-0135/map/emd_0135.map.gz	/pub/databases/emdb/structures/EMD-0135/header/emd-0135.xml	/pub/databases/emdb/structures/EMD-0135/images/emd_0135.png
0136	09/11/18	12/14/18	09/11/18	/pub/databases/emdb/structures/EMD-0136/map/emd_0136.map.gz	/pub/databases/emdb/structures/EMD-0136/header/emd-0136.xml	/pub/databases/emdb/structures/EMD-0136/images/emd_0136.png
0137	08/29/18	12/14/18	08/29/18	/pub/databases/emdb/structures/EMD-0137/map/emd_0137.map.gz	/pub/databases/emdb/structures/EMD-0137/header/emd-0137.xml	/pub/databases/emdb/structures/EMD-0137/images/emd_0137.png
0139	08/29/18	12/14/18	08/29/18	/pub/databases/emdb/structures/EMD-0139/map/emd_0139.map.gz	/pub/databases/emdb/structures/EMD-0139/header/emd-0139.xml	/pub/databases/emdb/structures/EMD-0139/images/emd_0139.png
0143	11/10/18	12/28/18	11/10/18	/pub/databases/emdb/structures/EMD-0143/map/emd_0143.map.gz	/pub/databases/emdb/structures/EMD-0143/header/emd-0143.xml	/pub/databases/emdb/structures/EMD-0143/images/emd_0143.png
0144	12/17/18	12/21/18	12/17/18	/pub/databases/emdb/structures/EMD-0144/map/emd_0144.map.gz	/pub/databases/emdb/structures/EMD-0144/header/emd-0144.xml	/pub/databases/emdb/structures/EMD-0144/images/emd_0144.png
0145	11/10/18	12/28/18	11/10/18	/pub/databases/emdb/structures/EMD-0145/map/emd_0145.map.gz	/pub/databases/emdb/structures/EMD-0145/header/emd-0145.xml	/pub/databases/emdb/structures/EMD-0145/images/emd_0145.png
0146	08/23/18	12/14/18	08/23/18	/pub/databases/emdb/structures/EMD-0146/map/emd_0146.map.gz	/pub/databases/emdb/structures/EMD-0146/header/emd-0146.xml	/pub/databases/emdb/structures/EMD-0146/images/emd_0146.png
0147	08/23/18	12/14/18	08/23/18	/pub/databases/emdb/structures/EMD-0147/map/emd_0147.map.gz	/pub/databases/emdb/structures/EMD-0147/header/emd-0147.xml	/pub/databases/emdb/structures/EMD-0147/images/emd_0147.png
0148	08/02/18	12/14/18	08/02/18	/pub/databases/emdb/structures/EMD-0148/map/emd_0148.map.gz	/pub/databases/emdb/structures/EMD-0148/header/emd-0148.xml	/pub/databases/emdb/structures/EMD-0148/images/emd_0148.png
0149	09/25/18	12/14/18	09/25/18	/pub/databases/emdb/structures/EMD-0149/map/emd_0149.map.gz	/pub/databases/emdb/structures/EMD-0149/header/emd-0149.xml	/pub/databases/emdb/structures/EMD-0149/images/emd_0149.png
0150	09/22/18	12/14/18	09/22/18	/pub/databases/emdb/structures/EMD-0150/map/emd_0150.map.gz	/pub/databases/emdb/structures/EMD-0150/header/emd-0150.xml	/pub/databases/emdb/structures/EMD-0150/images/emd_0150.png
0152	12/17/18	12/21/18	12/17/18	/pub/databases/emdb/structures/EMD-0152/map/emd_0152.map.gz	/pub/databases/emdb/structures/EMD-0152/header/emd-0152.xml	/pub/databases/emdb/structures/EMD-0152/images/emd_0152.png
